Date,Close
2021/8/23,3319.257324
2021/8/24,3172.456299
2021/8/25,3224.915283
2021/8/26,3100.325439
2021/8/27,3270.60083
2021/8/28,3244.40332
2021/8/29,3227.002686
2021/8/30,3224.374268
2021/8/31,3433.732666
2021/9/1,3834.828125
2021/9/2,3790.98999
2021/9/3,3940.614746
2021/9/4,3887.828369
2021/9/5,3952.133545
2021/9/6,3928.379395
2021/9/7,3426.394287
2021/9/8,3497.315186
2021/9/9,3427.340088
2021/9/10,3211.505859
2021/9/11,3270.278076
2021/9/12,3410.134521
2021/9/13,3285.511719
2021/9/14,3429.169678
2021/9/15,3615.282715
2021/9/16,3571.294922
2021/9/17,3398.538818
2021/9/18,3432.018311
2021/9/19,3329.447998
2021/9/20,2958.993408
2021/9/21,2764.431152
2021/9/22,3077.86792
2021/9/23,3155.523682
2021/9/24,2931.669189
2021/9/25,2925.565674
2021/9/26,3062.265381
2021/9/27,2934.138916
2021/9/28,2807.296631
2021/9/29,2853.143311
2021/9/30,3001.678955
2021/10/1,3307.516113
2021/10/2,3391.694336
2021/10/3,3418.358643
2021/10/4,3380.089111
2021/10/5,3518.518555
2021/10/6,3580.562012
2021/10/7,3587.974854
2021/10/8,3563.759277
2021/10/9,3575.716797
2021/10/10,3425.852783
2021/10/11,3545.354004
2021/10/12,3492.573242
2021/10/13,3606.20166
2021/10/14,3786.01416
2021/10/15,3862.634766
2021/10/16,3830.38208
2021/10/17,3847.104492
2021/10/18,3748.760254
2021/10/19,3877.650879
2021/10/20,4155.992188
2021/10/21,4054.322754
2021/10/22,3970.181885
2021/10/23,4171.663574
2021/10/24,4087.903076
2021/10/25,4217.876953
2021/10/26,4131.102051
2021/10/27,3930.257324
2021/10/28,4287.318848
2021/10/29,4414.746582
2021/10/30,4325.650391
2021/10/31,4288.074219
2021/11/1,4324.626953
2021/11/2,4584.798828
2021/11/3,4607.193848
2021/11/4,4537.324219
2021/11/5,4486.243164
2021/11/6,4521.581055
2021/11/7,4620.554688
2021/11/8,4812.087402
2021/11/9,4735.068848
2021/11/10,4636.174316
2021/11/11,4730.384277
2021/11/12,4667.115234
2021/11/13,4651.460449
2021/11/14,4626.358887
2021/11/15,4557.503906
2021/11/16,4216.365234
2021/11/17,4287.59375
2021/11/18,4000.650879
2021/11/19,4298.306641
2021/11/20,4409.931152
2021/11/21,4269.73291
2021/11/22,4088.457764
2021/11/23,4340.763672
2021/11/24,4239.981445
2021/11/25,4274.743164
2021/11/26,4030.908936
2021/11/27,4096.912109
2021/11/28,4294.453613
2021/11/29,4445.10498
2021/11/30,4631.479004
2021/12/1,4586.990234
2021/12/2,4511.302246
2021/12/3,4220.706055
2021/12/4,4119.587402
2021/12/5,4198.322754
2021/12/6,4358.737305
2021/12/7,4315.061523
2021/12/8,4439.35791
2021/12/9,4119.815918
2021/12/10,3908.496094
2021/12/11,4084.452393
2021/12/12,4134.453125
2021/12/13,3784.226807
2021/12/14,3745.44043
2021/12/15,4018.388672
2021/12/16,3962.469727
2021/12/17,3879.486572
2021/12/18,3960.860107
2021/12/19,3922.592529
2021/12/20,3933.844482
2021/12/21,4020.26001
2021/12/22,3982.099609
2021/12/23,4108.015625
2021/12/24,4047.98291
2021/12/25,4093.281006
2021/12/26,4067.328125
2021/12/27,4037.547607
2021/12/28,3800.893066
2021/12/29,3628.531738
2021/12/30,3713.852051
2021/12/31,3682.632813
2022/1/1,3769.697021
2022/1/2,3829.564941
2022/1/3,3761.380371
2022/1/4,3794.056641
2022/1/5,3550.386963
2022/1/6,3418.408203
2022/1/7,3193.210449
2022/1/8,3091.972656
2022/1/9,3157.751465
2022/1/10,3083.0979
2022/1/11,3238.111572
2022/1/12,3372.258301
2022/1/13,3248.288574
2022/1/14,3310.001465
2022/1/15,3330.530762
2022/1/16,3350.921875
2022/1/17,3212.304932
2022/1/18,3164.025146
2022/1/19,3095.825928
2022/1/20,3001.120117
2022/1/21,2557.931641
2022/1/22,2405.181152
2022/1/23,2535.039063
2022/1/24,2440.352295
2022/1/25,2455.935059
2022/1/26,2468.030273
2022/1/27,2423.001221
2022/1/28,2547.092041
2022/1/29,2597.084717
2022/1/30,2603.466553
2022/1/31,2688.278809
2022/2/1,2792.117188
2022/2/2,2682.854004
2022/2/3,2679.162598
2022/2/4,2983.586914
2022/2/5,3014.648193
2022/2/6,3057.476074
2022/2/7,3142.470703
2022/2/8,3122.608643
2022/2/9,3239.457031
2022/2/10,3077.482178
2022/2/11,2927.383545
2022/2/12,2917.362793
2022/2/13,2883.463379
2022/2/14,2933.479004
2022/2/15,3179.877197
2022/2/16,3127.830078
2022/2/17,2881.481934
2022/2/18,2785.727539
2022/2/19,2763.701172
2022/2/20,2628.648438
2022/2/21,2573.816162
2022/2/22,2639.299316
2022/2/23,2716.294189
